ページ,カラム,科目情報,成績評価
94,LEFT,"科目ナンバー：（BA）LAN111J
英語（初級）Ａ（統一）
通常クラスE2
石塚あおい・岩崎永一・生越秀子・河内山晶子・
佐藤文子・廣瀬絵美・廣田美玲・古川恵美・
松野亜希子・山高美和・吉田えりか・若月麻美
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
担当教員の説明を聞くこと。"
94,RIGHT,"科目ナンバー：（BA）LAN111J
英語（初級）Ｂ（統一）
通常クラスE2
石塚あおい・岩崎永一・生越秀子・河内山晶子・
佐藤文子・廣瀬絵美・廣田美玲・古川恵美・
松野亜希子・山高美和・吉田えりか・若月麻美
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
担当教員の説明を聞くこと。"
95,LEFT,"科目ナンバー：（BA）LAN111J
英語（初級）Ａ
【E1 コミュニケーション英語】 河内山晶子
（TOEIC300点程度対象者クラス）
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
試験 50％ 平常点（小テスト・課題提出を含む）50％"
95,RIGHT,"科目ナンバー：（BA）LAN111J
英語（初級）Ｂ
【E1 コミュニケーション英語】 河内山晶子
（TOEIC300点程度対象者クラス）
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
試験 50％ 平常点（小テスト・課題提出を含む）50％"
96,LEFT,"科目ナンバー：（BA）LAN111J
英語（初級）Ａ
【E1 コミュニケーション英語】 宮下いづみ
（TOEIC300点程度対象者クラス）
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
Active participation: 20，Written assignments:10，Presentation:
20，Mid-term exam 25，Final exam: 35"
96,RIGHT,"科目ナンバー：（BA）LAN111J
英語（初級）Ｂ
【E1 コミュニケーション英語】 宮下いづみ
（TOEIC300点程度対象者クラス）
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
Active participation: 10，Written assignments:15，Presentation:
15，Mid-term exam:25，Final exam 35"
97,LEFT,"科目ナンバー：（BA）LAN111J
英語（初級）Ａ
【E2 国際教養英語】 岩崎永一
（TOEIC300点程度対象者クラス）
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
①期末試験（語彙とリスニングを主とした基礎的問題）50％
②参加 25%
③授業内小テスト 25%
※期末試験は基礎的な問題が多く，普段からきちんと行っていれば
心配ありません。"
97,RIGHT,"科目ナンバー：（BA）LAN111J
英語（初級）Ｂ
岩崎永一
【E2 国際教養英語】
（TOEIC300点程度対象者クラス）
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
①期末試験（語彙とリスニングを主とした基礎的問題）50％
②参加 25%
③授業内小テスト 25%
※期末試験は基礎的な問題が多く，普段からきちんと行っていれば
心配ありません。"
98,LEFT,"科目ナンバー：（BA）LAN111J
英語（初級）Ａ
【E2 国際教養英語】 廣田美玲
（TOEIC300点程度対象者クラス）
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
グループ・プレゼンテーション30％，期末試験60％，小テスト10
％で評価します。"
98,RIGHT,"科目ナンバー：（BA）LAN111J
英語（初級）Ｂ
廣田美玲
【E2 国際教養英語】
（TOEIC300点程度対象者クラス）
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
グループ・プレゼンテーション30％，期末試験60％，小テスト10
％で評価します。"
99,LEFT,"科目ナンバー：（BA）LAN111J
英語（初級）Ａ（統一）
【GREAT:English for Business Studies(EBS) IA】
金子敦子・デュプリス，ジョン・神藤理恵・
マークー，ジェイソン・リンズクーグ，アレン
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
Assignments and quizzes: 40%; reports and presentations: 20%;
final exam: 20%; class participation: 20%
More than 3 absences will result in a fail (3 late = 1 absence; late
means arrival within 30 minutes from the start of the class)."
99,RIGHT,"科目ナンバー：（BA）LAN111J
英語（初級）Ｂ（統一）
【GREAT:English for Business Studies(EBS) IB】
金子敦子・デュプリス，ジョン・神藤理恵・
マークー，ジェイソン・リンズクーグ，アレン
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
Assignments and quizzes: 40%; reports and presentations: 20%;
final exam: 20%; class participation: 20%
More than 3 absences will result in a fail (3 late = 1 absence; late
means arrival within 30 minutes from the start of the class)."
100,LEFT,"科目ナンバー：（BA）LAN111J
英語（初級）Ａ（統一）
【GREAT:Academic Reading and Writing A】
山下佳江・真継左和子・デュプリス，ジョン・
モロー，ロバート
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
Attendance & Class participation 20
Vocabulary notebook 20
Mid-term test 30
Final test 30"
100,RIGHT,"科目ナンバー：（BA）LAN111J
英語（初級）Ｂ（統一）
【GREAT:Academic Reading and Writing B】
山下佳江・真継左和子・デュプリス，ジョン・
モロー，ロバート
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
Attendance & Class participation 20
Summer-break book report 15
Writing assignments（ 10x3) & other work 35
Essay (5 Outline+25 Essay) 30
100
※There will be no face-to-face quizzes or tests"
101,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
宇野毅
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
テスト：60％、平常点：40％を基準に、総合的に判断して評価する。
詳細は、第１回目の授業で説明する。"
101,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
宇野毅
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
テスト：60％、平常点：40％を基準に、総合的に判断して評価する。
詳細は、第１回目の授業で説明する。"
102,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
荒井貴和
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
ペア・グループ活動を含む授業への積極的参加 30%
個々の課題や提出物 35%
スピーチ、プレゼンテーションと評価 35%"
102,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
荒井貴和
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
ペア・グループ活動を含む授業への積極的参加 30%
個々の課題や提出物 35%
スピーチ、プレゼンテーションと評価 35%"
103,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
石井千春
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
授業集中度を三割、試験を七割。"
103,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
石井千春
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
授業集中度を三割、試験を七割。"
104,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
石井千春
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
授業集中度と小テストを平常点として三割、試験を七割。"
104,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
石井千春
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
授業集中度と小テストを平常点として三割、試験を七割。"
105,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
石塚あおい
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
毎回，授業の初めに Timed Reading を実施します（10点満点の全10
回）。この合計点の20％と、サイドリーダーの記述式テスト25％，教科書
の復習テスト35%，そして授業貢献度20％の割合で最終評価をします。"
105,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
石塚あおい
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
毎回，授業の初めに Timed Reading を実施します（10点満点の全10回）。
この合計点の20％と，サイドリーダーの記述式テスト25％，教科書の復習テ
スト35%，そして授業貢献度20％の割合で最終評価をします。"
106,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
岩崎永一
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
①期末試験 50%
②参加 25%
③授業内小テスト 25%"
106,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
岩崎永一
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
①期末試験 50%
②参加 25%
③授業内小テスト 25%"
107,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
大塚あゆみ
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
授業への参加度，平常点60％，期末試験40％で評価する。"
107,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
大塚あゆみ
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
授業への参加度，平常点60％，期末試験40％で評価する。"
108,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
生越秀子
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
平常点61%（授業参加度，課題提出, スコアレポート等）
テスト39% (ただし、第1回のPractice Testは成績に算入しません。Practice Testは今期の目標設
定のための現有得点力を測るテストです。受講希望者は必ず受けてください)"
108,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
生越秀子
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点65%（授業参加度，課題提出, 小テスト, スコアレポート等)
テスト35% (ただし、第1回のPractice Testは成績に算入しません。Practice Testは今期の
目標設定のための現有得点力を測るテストです。受講希望者は必ず受けてください)"
109,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
押上玲奈
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
出席（30％）〈単位修得には80％以上の出席を必要とする〉：平
常点（30％）〈授業への貢献度〉：課題（40％）（特にpresentation
を伴う3つの課題は全ての提出が必須）"
109,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
押上玲奈
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
出席（30％）〈単位修得には80％以上の出席を必要とする〉：平
常点（30％）〈授業への貢献度〉：課題（40％）（特にpresentation
を伴う3つの課題は全ての提出が必須）"
110,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
熊倉麻名
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
a. プレゼン（原稿＆パワポ・発表・Q&A、評価表記載）50％
b. テキスト学習（授業貢献，筆記試験）50％"
110,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
熊倉麻名
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
a. Writing/Presentation（原稿＆パワポ作成・発表，質疑応答、評価表
記入）50％
b. テキスト学習（授業貢献，筆記試験）50％"
111,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
小池知之
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
隔週で演習を課しレポート提出を求める。これらを20％，授業
への貢献度10％，期末試験を70％で評価する。"
111,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
小池知之
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
隔週で演習を課しレポート提出を求める。これらを20％，授業
への貢献度10％，期末試験を70％で評価する。"
112,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
相馬美明
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（20％）：出席については，基本的に全出席を原則とする。
きちんと出席し，真剣に取り組む姿勢を評価したい。
学期末試験（60％）：必ず受験すること。
レポート（10％）：授業中に指示する内容にそって提出すること。
プレゼンテイション（10％）：積極的に話し，聞き，発表するこ
とを評価する。"
112,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
相馬美明
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点（20％）：出席については，基本的に全出席を原則とする。
きちんと出席し，真剣に取り組む姿勢を評価したい。
学期末試験（60％）：必ず受験すること。
レポート（10％）：授業中に指示する内容にそって提出すること。
プレゼンテイション（10％）：積極的に話し，聞き，発表するこ
とを評価する。"
113,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
高梨絵梨沙
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
平常点：60％、定期テスト：40％ 詳細は，第一回目の授業で
説明する。"
113,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
高梨絵梨沙
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点：60％、定期テスト：40％ 詳細は，第一回目の授業で
説明する。"
114,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
戸田博之
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
出席および授業への参画・貢献（毎回の課題として「振返りシート」を提出。特に質問の多さを高く評価する）:
20%
小テスト，宿題：20%
中間テスト：30%
期末テスト：30%
Grading Breakdown:
Attendance and Participation/Contribution (including submission of a ""Reflection Sheet"" for each class; active
questioning is especially highly evaluated): 20%
Quizzes and Homework: 20%
Midterm Exam: 30%
Final Exam: 30%"
114,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
戸田博之
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
出席および授業への参画・貢献（毎回の課題として「振返りシート」を提出。特に質問の多さを高く評価する）:
20%
小テスト，宿題：20%
中間テスト：30%
期末テスト：30%
Grading Breakdown:
Attendance and Participation/Contribution (including submission of a ""Reflection Sheet"" for each class; active
questioning is especially highly evaluated): 20%
Quizzes and Homework: 20%
Midterm Exam: 30%
Final Exam: 30%"
115,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
中村美帆子
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
期末試験50％, 小テスト30％, 授業への参加度20％"
115,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
中村美帆子
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
期末試験50％, 小テスト30％, 授業への参加度20％"
116,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
バーニンガー，ジョージ
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
Evaluation will be made up of the following:
Homework from textbook (20%)
Active daily participation (30%)
Midterm presentation (25%)
Final presentation (25%)"
116,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
バーニンガー，ジョージ
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
Evaluation will be made up of the following:
Homework from textbook (20%)
Active daily participation (30%)
Midterm presentation (25%)
Final presentation (25%)"
117,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
廣瀬絵美
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
提出課題 20%，授業への貢献度 20%，定期試験 60%"
117,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
廣瀬絵美
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
提出課題 20%，授業への貢献度 20%，定期試験 60%"
118,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
古川恵美
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
平常点(授業への参加・貢献度) 30％, 課題(提出物・発表) 30％, 小テスト
30%, 学期末レポート10%"
118,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
古川恵美
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点(授業への参加・貢献度) 30％, 課題(提出物・発表) 30％, 小テスト
30%, 学期末レポート10%"
119,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
吉田えりか
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
期末試験60%，小テスト20%，授業中の取り組み（毎回十分に予習を行
って授業に臨み，授業中は熱心に取り組み発表できること）20%を合計し
て評価する。4分の3以上の出席が単位取得の必須条件です。"
119,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
吉田えりか
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
期末試験60%，小テスト20%，授業中の取り組み（毎回十分に予習を行
って授業に臨み，授業中は熱心に取り組み発表できること）20%を合計し
て評価する。4分の3以上の出席が単位取得の必須条件です。"
120,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ
依田里花
【EM Comprehensive English】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
・70％：授業への取り組み、課題、毎時間の提出物（内容・質を重視）
・30％：学期末試験（S→90%以上，A→80%以上，B→70%以上，C→60%以上）
【注意】
単位取得には、授業数の1/３回までの欠席（遅刻３回で１欠席。遅延証明書は２回ま
で有効）が条件となります。"
120,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ
依田里花
【EM Comprehensive English】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
・70％：授業への取り組み、課題、毎時間の提出物（内容・質を重視）
・30％：学期末試験（S→90%以上，A→80%以上，B→70%以上，C→60%以上）
【注意】
単位取得には、授業数の1/３回までの欠席（遅刻３回で１欠席。遅延証明書は２回ま
で有効）が条件となります。"
121,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ（統一）
【GREAT:English for Business Studies (EBS) ⅡA】
デュプリス，ジョン・マークー，ジェイソン・
宮田 理奈子
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
Class participation: 20%; reports and presentations: 20%; exam:
20%; assignments and quizzes 40%.
More than 3 absences will result in a fail (3 late = 1 absence; late
means arrival within 30 minutes from the start of the class)."
121,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ（統一）
【GREAT:English for Business Studies (EBS) ⅡB】
デュプリス，ジョン・マークー，ジェイソン・
宮田理奈子
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
Class participation: 20%; reports and presentations: 10%; 2nd year
portfolio: 10%; assignments quizzes 40%; exam 20% .
More than 3 absences will result in a fail (3 late = 1 absence; late
means arrival within 30 minutes from the start of the class)."
122,LEFT,"科目ナンバー：（BA）LAN211J
英語（中級）Ａ（統一）
【GREAT:Academic Writing ⅡA】
山下佳江・真継左和子・モロー，ロバート・
ヴォーン，ロバート
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
Class participation 20%
Essay 1 (5+20) 25%
Essay 2 (5+20) 25%
Essay 3 (5+25) 30%"
122,RIGHT,"科目ナンバー：（BA）LAN211J
英語（中級）Ｂ（統一）
【GREAT:Academic Writing ⅡB】
山下佳江・真継左和子・モロー，ロバート・
ヴォーン，ロバート
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
Attendance & participation (20), Research list (5), Outline (5), Introduction (5), Body
paragraphs (15), Conclusion (5), First draft (15), Final draft (30)
※There will be no face-to-face quizzes or exams."
123,LEFT,"科目ナンバー：（BA）LAN121J
竹内拓史・
ドイツ語（初級）Ⅰa（統一）
赤池，エルフリーデ
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（授業への参加度，課題の発表，小テストなど）40％，
定期試験60％を予定しています（進度等によって変更の可能性が
ありますので，各担当教員からの説明をよく聞いてください）。"
123,RIGHT,"科目ナンバー：（BA）LAN121J
竹内拓史・
ドイツ語（初級）Ⅱa（統一）
赤池，エルフリーデ
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点（授業への参加度，課題の発表，小テストなど）40％，
定期試験60％の予定です（進度等によって変更の可能性がありま
すので，各担当教員からの説明をよく聞いてください）。"
124,LEFT,"科目ナンバー：（BA）LAN121J
ドイツ語（初級）Ⅰb（統一）
竹内拓史・畑一成・大類京子・松島渉
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（授業への参加等）30％、中間試験30％、期末試験40％
を予定しています（各クラスの進度等により，若干変更となる場合
がありますので，担当教員の説明をよく聞いてください）。"
124,RIGHT,"科目ナンバー：（BA）LAN121J
ドイツ語（初級）Ⅱb（統一）
竹内拓史・畑一成・大類京子・松島渉
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点（授業への参加等）30％、中間試験30％、期末試験40％
を予定しています（各クラスの進度等により若干変更になる場合が
ありますので，担当教員の説明をよく聞いてください）。"
125,LEFT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ａ指定（統一）
【指定クラス】
竹内拓史・畑一成・大類京子・小松真帆
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（授業への参加度）30％，小テストや中間・期末試験70％
の予定です（各クラスの進度等によって変更の可能性がありますの
で，各担当教員からの説明をよく聞いてください）。"
125,RIGHT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ｂ指定（統一）
【指定クラス】
竹内拓史・畑一成・大類京子・小松真帆
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点（授業への参加度）30％，小テストや中間・期末試験70％
の予定です（各クラスの進度等によって変更の可能性がありますの
で，各担当教員からの説明をよく聞いてください）。"
126,LEFT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ａ
畑一成
【選択クラス】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
期末試験：60％（「到達目標」の記載内容を測る試験を行う）
授業への参加：40％（課題や発表、グループワーク等の参加度や
達成度を測る）
※授業への参加状況や態度によって減点する場合がある。
※授業を３分の１以上欠席した場合、評価の対象としない。"
126,RIGHT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ｂ
畑一成
【選択クラス】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
期末試験：60％（「到達目標」の記載内容を測る試験を行う）
授業への参加：40％（課題や発表、グループワーク等の参加度や
達成度を測る）
※授業への参加状況や態度によって減点する場合がある。
※授業を３分の１以上欠席した場合、評価の対象としない。"
127,LEFT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ａ
赤池マリア
【選択クラス】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
テスト：60％ レポート ：40％"
127,RIGHT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ｂ
赤池マリア
【選択クラス】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
テスト 60％ レポート ：40％"
128,LEFT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ａ
大類京子
【選択クラス】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
【平常点40：学期末試験60】
平常点は，課題や授業参加態度・貢献度，単語テスト，ヒアリング小テス
トなどによります。
遅刻・欠席が一定回数を超えた場合，平常点分は評価の対象となりません。"
128,RIGHT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ｂ
大類京子
【選択クラス】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
【平常点40：学期末試験：60】
平常点は，課題や授業参加態度・貢献度，単語テスト，ヒアリング小テスト，
模擬テストなどによります。
欠席・遅刻，辞書不携帯は，授業参加態度への評価に大きく影響します。
遅刻・欠席が一定回数を超えた場合，平常点分は評価の対象となりません。
SD１の受験は義務ではありませんが，受験そのもので平常点への「加点」が
あります。
また、SD1の点数を、学期末試験の代替物とすることも可能です。
その際は、SD1の獲得点数を学期末試験に対応する点数に補正して換算します。"
129,LEFT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ａ
小松真帆
【選択クラス】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
・ 授業への参加度・予習：3割、小テスト・授業内課題：3割、まと
めテスト・課題：4割
・ 出席は予習を前提とし、その他にも随時レポートやリアクション
ペーパーを指示します。"
129,RIGHT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ｂ
小松真帆
【選択クラス】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
・ 授業への参加度・予習：3割、小テスト・授業内課題：3割、まと
めテスト・課題：4割
・ 出席は予習を前提とし、その他にも随時レポートやリアクション
ペーパーを指示します。"
130,LEFT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ａ
松島渉
【選択クラス】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
平常点50点，期末試験50点。
平常点とは出席のみで得られるものではない。事前に指定された
問題をやっていなかったり，指名されて問題を答える際に思考の跡
がないなどが減点の対象である。期間中作文課題を提出する機会が
ある。課題提出の有無，その内容も平常点に含まれる。"
130,RIGHT,"科目ナンバー：（BA）LAN221J
ドイツ語（中級）Ｂ
松島渉
【選択クラス】
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点50点，期末試験50点。
平常点とは出席のみで得られるものではない。事前に指定された
問題をやっていなかったり，指名された問題を答える際に思考の跡
が見られない場合は減点の対象になる。期間中2回ほど作文課題を
提出する機会がある。課題提出の有無，その内容も平常点に含まれ
る。"
131,LEFT,"科目ナンバー：（BA）LAN131J
フランス語（初級）Ⅰa（統一）
【コミュニケーション】
折方のぞみ・佐々木匠・中村美緒・南玲子
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（40％）と期末試験（60％）を目安とします。
課題，小テスト，中間テストなどの含め方については教員によって
割合が変動する可能性があります。"
131,RIGHT,"科目ナンバー：（BA）LAN131J
フランス語（初級）Ⅱa（統一）
【コミュニケーション】
折方のぞみ・佐々木匠・中村美緒・南玲子
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点（40％）と期末試験（60％）を目安とします。
課題，小テスト，中間テストなどの含め方については教員によっ
て割合が変動する可能性があります。"
132,LEFT,"科目ナンバー：（BA）LAN131J
フランス語（初級）Ⅰb（統一）
【文法】
荒原由紀子・加藤三和・永倉千夏子・南玲子
1単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（40％）と期末試験（60％）を目安とします。
課題，小テスト，中間テストなどの含め方については教員によっ
て割合が変動する可能性があります。"
132,RIGHT,"科目ナンバー：（BA）LAN131J
フランス語（初級）Ⅱb（統一）
【文法】
荒原由紀子・加藤三和・永倉千夏子・南玲子
1単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点（40％）と期末試験（60％）を目安とします。
課題，小テスト，中間テストなどの含め方については教員によっ
て割合が変動する可能性があります。"
133,LEFT,"科目ナンバー：（BA）LAN231J
フランス語（中級）Ａ指定（統一）
【習熟度別指定クラス】
加藤三和・中村美緒・ベルテ，ディディエ・
レット，フランソワ
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
平常点（40％）と期末試験（60％）を目安とします。
課題，小テスト，中間テストなどの含め方については教員によっ
て割合が変動する可能性があります。"
133,RIGHT,"科目ナンバー：（BA）LAN231J
フランス語（中級）Ｂ指定（統一）
【習熟度別指定クラス】
加藤三和・中村美緒・ベルテ，ディディエ・
レット，フランソワ
1単位 2年次 秋学期 和泉キャンパス","８．成績評価の方法
平常点（40％）と期末試験（60％）を目安とします。
課題，小テスト，中間テストなどの含め方については教員によっ
て割合が変動する可能性があります。"
134,LEFT,"科目ナンバー：（BA）LAN231J
フランス語（中級）Ａ
折方のぞみ
【選択クラス】
1単位 2年次 春学期 和泉キャンパス","８．成績評価の方法
・平常点（出席，授業参加）30％
授業への出席は大前提となります。３回以上の欠席をした者には単位を与えま
せん（公欠や病欠は日付入り証明書があれば考慮）。その上で，教室内での発言や
発表など積極的に授業に参加する姿勢が評価対象となります。
・小テスト 20%
・ 中間発表 10%（受講人数によりますが，各自が調べた課題コンテンツの発表を
予定）
・学期末試験 40％
（上記は目安で総合的に評価されます。）"
